id,make,model,year,fuelType,horsePower,cylinders,driveTrain,numDoors,size,style,highwayMpg,cityMpg,msrp
32,Acura,Legend,1994,regular unleaded,200,6,front wheel drive,4,Midsize,Sedan,22,17,3355
33,Acura,Legend,1994,regular unleaded,230,6,front wheel drive,4,Midsize,Sedan,24,16,2799
34,Acura,Legend,1995,regular unleaded,200,6,front wheel drive,4,Midsize,Sedan,22,17,3130
35,Acura,Legend,1995,regular unleaded,230,6,front wheel drive,2,Midsize,Coupe,24,16,3012
36,Acura,Legend,1995,regular unleaded,200,6,front wheel drive,4,Midsize,Sedan,23,16,3622
37,Acura,Legend,1995,regular unleaded,230,6,front wheel drive,4,Midsize,Sedan,24,16,3652
38,Acura,MDX,2015,premium unleaded (recommended),290,6,all wheel drive,4,Midsize,4dr SUV,27,18,3222
39,Acura,MDX,2015,premium unleaded (recommended),290,6,front wheel drive,4,Midsize,4dr SUV,28,20,7398
40,Acura,MDX,2016,premium unleaded (recommended),290,6,front wheel drive,4,Midsize,4dr SUV,27,19,3086
41,Acura,MDX,2016,premium unleaded (recommended),290,6,all wheel drive,4,Midsize,4dr SUV,26,18,22600
42,Acura,MDX,2016,premium unleaded (recommended),290,6,all wheel drive,4,Midsize,4dr SUV,26,19,21050
43,Acura,MDX,2016,premium unleaded (recommended),290,6,front wheel drive,4,Midsize,4dr SUV,27,20,19400
44,Acura,MDX,2017,premium unleaded (recommended),290,6,all wheel drive,4,Midsize,4dr SUV,26,19,20200
45,Acura,MDX,2017,premium unleaded (recommended),290,6,front wheel drive,4,Midsize,4dr SUV,27,19,21600
46,Acura,MDX,2017,premium unleaded (recommended),290,6,all wheel drive,4,Midsize,4dr SUV,26,18,21850
47,Acura,MDX,2017,premium unleaded (recommended),290,6,front wheel drive,4,Midsize,4dr SUV,27,20,21000
48,Acura,NSX,2004,regular unleaded,290,6,rear wheel drive,2,Compact,Coupe,22,16,22400
49,Acura,NSX,2004,regular unleaded,252,6,rear wheel drive,2,Compact,Coupe,22,16,24450
50,Acura,NSX,2005,regular unleaded,290,6,rear wheel drive,2,Compact,Coupe,22,16,20200
51,Acura,NSX,2005,regular unleaded,252,6,rear wheel drive,2,Compact,Coupe,22,16,22300
52,Acura,NSX,2017,premium unleaded (required),573,6,all wheel drive,2,Compact,Coupe,22,21,2000
53,Acura,RDX,2015,premium unleaded (recommended),273,6,all wheel drive,4,Midsize,4dr SUV,27,19,2060
54,Acura,RDX,2015,premium unleaded (recommended),273,6,front wheel drive,4,Midsize,4dr SUV,28,20,2042
55,Acura,RDX,2016,premium unleaded (recommended),279,6,front wheel drive,4,Midsize,4dr SUV,29,20,2000
56,Acura,RDX,2016,premium unleaded (recommended),279,6,all wheel drive,4,Midsize,4dr SUV,28,19,2000
57,Acura,RDX,2017,premium unleaded (recommended),279,6,all wheel drive,4,Midsize,4dr SUV,27,19,2181
58,Acura,RDX,2017,premium unleaded (recommended),279,6,front wheel drive,4,Midsize,4dr SUV,28,20,2028
59,Acura,RL,2010,premium unleaded (required),300,6,all wheel drive,4,Midsize,Sedan,22,16,2063
60,Acura,RL,2011,premium unleaded (required),300,6,all wheel drive,4,Midsize,Sedan,24,17,2066
61,Acura,RL,2012,premium unleaded (required),300,6,all wheel drive,4,Midsize,Sedan,24,17,2384
62,Acura,RLX,2015,premium unleaded (recommended),310,6,front wheel drive,4,Midsize,Sedan,31,20,2356
63,Acura,RLX,2016,premium unleaded (recommended),310,6,front wheel drive,4,Midsize,Sedan,31,20,2506
64,Acura,RLX,2016,premium unleaded (recommended),377,6,all wheel drive,4,Midsize,Sedan,32,28,2265
65,Acura,RLX,2017,premium unleaded (recommended),310,6,front wheel drive,4,Midsize,Sedan,30,20,2144
66,Acura,RSX,2004,regular unleaded,160,4,front wheel drive,2,Compact,2dr Hatchback,30,24,2135
67,Acura,RSX,2004,regular unleaded,160,4,front wheel drive,2,Compact,2dr Hatchback,31,22,2066
68,Acura,RSX,2004,premium unleaded (required),200,4,front wheel drive,2,Compact,2dr Hatchback,28,21,44565
69,Acura,RSX,2005,regular unleaded,160,4,front wheel drive,2,Compact,2dr Hatchback,31,24,48840
70,Acura,RSX,2005,regular unleaded,160,4,front wheel drive,2,Compact,2dr Hatchback,31,22,50840
71,Acura,RSX,2005,premium unleaded (required),210,4,front wheel drive,2,Compact,2dr Hatchback,28,20,42565
72,Acura,RSX,2006,regular unleaded,155,4,front wheel drive,2,Compact,2dr Hatchback,31,24,48840
73,Acura,RSX,2006,premium unleaded (required),201,4,front wheel drive,2,Compact,2dr Hatchback,28,20,46840
74,Acura,RSX,2006,regular unleaded,155,4,front wheel drive,2,Compact,2dr Hatchback,31,22,56780
75,Acura,SLX,1997,regular unleaded,190,6,four wheel drive,4,Midsize,4dr SUV,17,13,54780
76,Acura,SLX,1998,regular unleaded,215,6,four wheel drive,4,Midsize,4dr SUV,18,13,43015
77,Acura,SLX,1999,regular unleaded,215,6,four wheel drive,4,Midsize,4dr SUV,18,13,49440
78,Acura,TL,2012,premium unleaded (required),305,6,all wheel drive,4,Midsize,Sedan,26,18,46515
79,Acura,TL,2012,premium unleaded (required),280,6,front wheel drive,4,Midsize,Sedan,29,20,44515
80,Acura,TL,2012,premium unleaded (required),305,6,all wheel drive,4,Midsize,Sedan,25,17,55230
81,Acura,TL,2013,premium unleaded (recommended),280,6,front wheel drive,4,Midsize,Sedan,29,20,45015
82,Acura,TL,2013,premium unleaded (recommended),305,6,all wheel drive,4,Midsize,Sedan,26,18,53230
83,Acura,TL,2013,premium unleaded (recommended),305,6,all wheel drive,4,Midsize,Sedan,25,17,52640
84,Acura,TL,2014,premium unleaded (recommended),280,6,front wheel drive,4,Midsize,Sedan,29,20,51440
85,Acura,TL,2014,premium unleaded (recommended),305,6,all wheel drive,4,Midsize,Sedan,25,17,50640
86,Acura,TL,2014,premium unleaded (recommended),305,6,all wheel drive,4,Midsize,Sedan,26,18,55230
87,Acura,TLX,2015,premium unleaded (recommended),290,6,all wheel drive,4,Midsize,Sedan,31,21,49440
88,Acura,TLX,2015,premium unleaded (recommended),206,4,front wheel drive,4,Midsize,Sedan,35,24,47440
89,Acura,TLX,2015,premium unleaded (recommended),290,6,front wheel drive,4,Midsize,Sedan,34,21,48640
90,Acura,TLX,2016,premium unleaded (recommended),290,6,all wheel drive,4,Midsize,Sedan,31,21,50640
91,Acura,TLX,2016,premium unleaded (recommended),290,6,front wheel drive,4,Midsize,Sedan,34,21,57230
92,Acura,TLX,2016,premium unleaded (recommended),206,4,front wheel drive,4,Midsize,Sedan,35,24,56400
93,Acura,TLX,2017,premium unleaded (recommended),290,6,front wheel drive,4,Midsize,Sedan,34,21,48360
94,Acura,TLX,2017,premium unleaded (recommended),206,4,front wheel drive,4,Midsize,Sedan,35,24,50360
95,Acura,TLX,2017,premium unleaded (recommended),290,6,all wheel drive,4,Midsize,Sedan,31,21,52360
96,Acura,TSX Sport Wagon,2012,premium unleaded (recommended),201,4,front wheel drive,4,Midsize,Wagon,30,22,58400
97,Acura,TSX Sport Wagon,2013,premium unleaded (recommended),201,4,front wheel drive,4,Midsize,Wagon,30,22,56400
98,Acura,TSX Sport Wagon,2014,premium unleaded (recommended),201,4,front wheel drive,4,Midsize,Wagon,30,22,43950
99,Acura,TSX,2012,premium unleaded (recommended),201,4,front wheel drive,4,Midsize,Sedan,31,22,50360
100,Acura,TSX,2012,premium unleaded (required),280,6,front wheel drive,4,Midsize,Sedan,28,19,45950
101,Acura,TSX,2012,premium unleaded (recommended),201,4,front wheel drive,4,Midsize,Sedan,29,21,54400
102,Acura,TSX,2013,premium unleaded (recommended),201,4,front wheel drive,4,Midsize,Sedan,31,22,89000
103,Acura,TSX,2013,premium unleaded (recommended),201,4,front wheel drive,4,Midsize,Sedan,29,21,89000
104,Acura,TSX,2013,premium unleaded (recommended),280,6,front wheel drive,4,Midsize,Sedan,28,19,89000
105,Acura,TSX,2014,premium unleaded (recommended),201,4,front wheel drive,4,Midsize,Sedan,29,21,89000
106,Acura,TSX,2014,premium unleaded (recommended),201,4,front wheel drive,4,Midsize,Sedan,31,22,156000
107,Acura,TSX,2014,premium unleaded (recommended),280,6,front wheel drive,4,Midsize,Sedan,28,19,36495
108,Acura,Vigor,1992,regular unleaded,176,5,front wheel drive,4,Midsize,Sedan,24,18,40195
109,Acura,Vigor,1993,regular unleaded,176,5,front wheel drive,4,Midsize,Sedan,24,18,38795
110,Acura,Vigor,1994,regular unleaded,176,5,front wheel drive,4,Midsize,Sedan,24,18,35095
111,Acura,ZDX,2011,premium unleaded (required),300,6,all wheel drive,4,Midsize,4dr Hatchback,23,16,36670
112,Acura,ZDX,2012,premium unleaded (required),300,6,all wheel drive,4,Midsize,4dr Hatchback,23,16,36870
113,Acura,ZDX,2013,premium unleaded (recommended),300,6,all wheel drive,4,Midsize,4dr Hatchback,23,16,41870
114,Alfa Romeo,4C,2015,premium unleaded (required),237,4,rear wheel drive,2,Compact,Convertible,34,24,39070
115,Alfa Romeo,4C,2015,premium unleaded (required),237,4,rear wheel drive,2,Compact,Coupe,34,24,35370
116,Alfa Romeo,4C,2016,premium unleaded (required),237,4,rear wheel drive,2,Compact,Coupe,34,24,38170
117,Alfa Romeo,4C,2016,premium unleaded (required),237,4,rear wheel drive,2,Compact,Convertible,34,24,40370
118,Aston Martin,DB7,2003,premium unleaded (required),420,12,rear wheel drive,2,Compact,Coupe,18,11,42020
119,Aston Martin,DB7,2003,premium unleaded (required),420,12,rear wheel drive,2,Compact,Convertible,17,10,40570
120,Aston Martin,DB7,2003,premium unleaded (required),435,12,rear wheel drive,2,Compact,Coupe,15,9,43520
121,Aston Martin,DB7,2003,premium unleaded (required),420,12,rear wheel drive,2,Compact,Coupe,17,10,38370
122,Aston Martin,DB9 GT,2016,premium unleaded (required),540,12,rear wheel drive,2,Midsize,Coupe,19,13,39270
123,Aston Martin,DB9 GT,2016,premium unleaded (required),540,12,rear wheel drive,2,Midsize,Convertible,19,13,42220
124,Aston Martin,DB9,2013,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Convertible,19,13,42070
125,Aston Martin,DB9,2013,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Coupe,19,13,36870
126,Aston Martin,DB9,2014,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Convertible,19,13,37070
127,Aston Martin,DB9,2014,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Coupe,19,13,43720
128,Aston Martin,DB9,2015,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Coupe,19,13,40770
129,Aston Martin,DB9,2015,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Convertible,19,13,40570
130,Aston Martin,DBS,2010,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Convertible,18,12,35570
131,Aston Martin,DBS,2010,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Convertible,17,11,54250
132,Aston Martin,DBS,2010,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Coupe,18,12,50450
133,Aston Martin,DBS,2010,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Coupe,17,11,46830
134,Aston Martin,DBS,2011,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Convertible,17,11,51350
135,Aston Martin,DBS,2011,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Coupe,17,11,55150
136,Aston Martin,DBS,2011,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Coupe,18,12,47200
137,Aston Martin,DBS,2011,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Convertible,18,12,48200
138,Aston Martin,DBS,2012,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Convertible,17,11,52350
139,Aston Martin,DBS,2012,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Coupe,18,12,56150
140,Aston Martin,DBS,2012,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Coupe,17,11,50950
141,Aston Martin,DBS,2012,premium unleaded (required),510,12,rear wheel drive,2,Midsize,Convertible,18,12,60450
142,Aston Martin,Rapide S,2014,premium unleaded (required),550,12,rear wheel drive,4,Large,Sedan,19,13,48450
143,Aston Martin,Rapide S,2015,premium unleaded (required),552,12,rear wheel drive,4,Large,Sedan,22,14,54450
144,Aston Martin,Rapide S,2016,premium unleaded (required),552,12,rear wheel drive,4,Large,Sedan,22,14,56950
145,Aston Martin,Rapide,2010,premium unleaded (required),470,12,rear wheel drive,4,Large,Sedan,19,13,54450
146,Aston Martin,Rapide,2011,premium unleaded (required),470,12,rear wheel drive,4,Large,Sedan,19,13,59950
147,Aston Martin,Rapide,2012,premium unleaded (required),470,12,rear wheel drive,4,Large,Sedan,19,13,60450
148,Aston Martin,V12 Vanquish,2004,premium unleaded (required),460,12,rear wheel drive,2,Compact,Coupe,18,11,65950
149,Aston Martin,V12 Vanquish,2005,premium unleaded (required),460,12,rear wheel drive,2,Compact,Coupe,16,10,50950
150,Aston Martin,V12 Vanquish,2005,premium unleaded (required),520,12,rear wheel drive,2,Compact,Coupe,16,10,54450
151,Aston Martin,V12 Vanquish,2006,premium unleaded (required),520,12,rear wheel drive,2,Compact,Coupe,16,10,60450
152,Aston Martin,V12 Vantage S,2015,premium unleaded (required),565,12,rear wheel drive,2,Compact,Coupe,18,12,21100
153,Aston Martin,V12 Vantage S,2016,premium unleaded (required),565,12,rear wheel drive,2,Compact,Convertible,18,12,20025
154,Aston Martin,V12 Vantage S,2016,premium unleaded (required),565,12,rear wheel drive,2,Compact,Coupe,18,12,22000
155,Aston Martin,V12 Vantage,2011,premium unleaded (required),510,12,rear wheel drive,2,Compact,Coupe,17,11,20925
156,Aston Martin,V12 Vantage,2012,premium unleaded (required),510,12,rear wheel drive,2,Compact,Coupe,17,11,23320
157,Aston Martin,V8 Vantage,2014,premium unleaded (required),430,8,rear wheel drive,2,Compact,Convertible,19,13,20275
158,Aston Martin,V8 Vantage,2014,premium unleaded (required),420,8,rear wheel drive,2,Compact,Convertible,19,13,22250
159,Aston Martin,V8 Vantage,2014,premium unleaded (required),430,8,rear wheel drive,2,Compact,Coupe,19,13,21175
160,Aston Martin,V8 Vantage,2014,premium unleaded (required),420,8,rear wheel drive,2,Compact,Coupe,21,14,21350
161,Aston Martin,V8 Vantage,2014,premium unleaded (required),420,8,rear wheel drive,2,Compact,Coupe,19,13,23670
162,Aston Martin,V8 Vantage,2014,premium unleaded (required),420,8,rear wheel drive,2,Compact,Convertible,21,14,20325
163,Aston Martin,V8 Vantage,2014,premium unleaded (required),430,8,rear wheel drive,2,Compact,Coupe,21,14,21475
164,Aston Martin,V8 Vantage,2014,premium unleaded (required),430,8,rear wheel drive,2,Compact,Convertible,21,14,23845
165,Aston Martin,V8 Vantage,2015,premium unleaded (required),430,8,rear wheel drive,2,Compact,Convertible,19,13,21225
166,Aston Martin,V8 Vantage,2015,premium unleaded (required),430,8,rear wheel drive,2,Compact,Coupe,19,13,22375
167,Aston Martin,V8 Vantage,2015,premium unleaded (required),430,8,rear wheel drive,2,Compact,Coupe,21,14,2397
168,Aston Martin,V8 Vantage,2015,premium unleaded (required),430,8,rear wheel drive,2,Compact,Convertible,21,14,2488
169,Aston Martin,V8 Vantage,2016,premium unleaded (required),430,8,rear wheel drive,2,Compact,Convertible,19,13,2816
170,Aston Martin,V8 Vantage,2016,premium unleaded (required),430,8,rear wheel drive,2,Compact,Coupe,19,13,2934
171,Aston Martin,V8 Vantage,2016,premium unleaded (required),430,8,rear wheel drive,2,Compact,Coupe,21,14,42985
172,Aston Martin,V8 Vantage,2016,premium unleaded (required),430,8,rear wheel drive,2,Compact,Convertible,21,14,41635
173,Aston Martin,Vanquish,2014,premium unleaded (required),565,12,rear wheel drive,2,Midsize,Convertible,19,13,39255
174,Aston Martin,Vanquish,2014,premium unleaded (required),565,12,rear wheel drive,2,Midsize,Coupe,19,13,45185
175,Aston Martin,Vanquish,2015,premium unleaded (required),568,12,rear wheel drive,2,Midsize,Convertible,21,13,35705
176,Aston Martin,Vanquish,2015,premium unleaded (required),568,12,rear wheel drive,2,Midsize,Coupe,21,13,42985
177,Aston Martin,Vanquish,2016,premium unleaded (required),568,12,rear wheel drive,2,Midsize,Coupe,21,13,39435
178,Aston Martin,Vanquish,2016,premium unleaded (required),568,12,rear wheel drive,2,Midsize,Convertible,21,13,39635
179,Aston Martin,Virage,2012,premium unleaded (required),490,12,rear wheel drive,2,Midsize,Coupe,18,13,45385
180,Aston Martin,Virage,2012,premium unleaded (required),490,12,rear wheel drive,2,Midsize,Convertible,18,13,39455
181,Audi,100,1992,regular unleaded,172,6,front wheel drive,4,Midsize,Sedan,24,17,43185
182,Audi,100,1992,regular unleaded,172,6,all wheel drive,4,Midsize,Wagon,20,16,41835
183,Audi,100,1992,regular unleaded,172,6,all wheel drive,4,Midsize,Sedan,21,16,43185
184,Audi,100,1993,regular unleaded,172,6,front wheel drive,4,Midsize,Sedan,24,17,35905
185,Audi,100,1993,regular unleaded,172,6,all wheel drive,4,Midsize,Wagon,20,16,37405
186,Audi,100,1993,regular unleaded,172,6,all wheel drive,4,Midsize,Sedan,21,16,37530
187,Audi,100,1994,regular unleaded,172,6,front wheel drive,4,Midsize,Wagon,21,16,36030
188,Audi,100,1994,regular unleaded,172,6,all wheel drive,4,Midsize,Sedan,22,16,43310
189,Audi,100,1994,regular unleaded,172,6,front wheel drive,4,Midsize,Sedan,22,17,39580
190,Audi,100,1994,regular unleaded,172,6,front wheel drive,4,Midsize,Sedan,22,16,39760
191,Audi,100,1994,regular unleaded,172,6,all wheel drive,4,Midsize,Wagon,21,16,45510
192,Audi,200,1990,regular unleaded,162,5,front wheel drive,4,Midsize,Sedan,20,16,43310
193,Audi,200,1990,regular unleaded,162,5,all wheel drive,4,Midsize,Wagon,22,15,41960
194,Audi,200,1990,regular unleaded,162,5,all wheel drive,4,Midsize,Sedan,23,15,41575
195,Audi,200,1991,regular unleaded,217,5,all wheel drive,4,Midsize,Sedan,22,16,35500
196,Audi,200,1991,regular unleaded,217,5,all wheel drive,4,Midsize,Wagon,22,16,42600
197,Audi,200,1991,regular unleaded,162,5,front wheel drive,4,Midsize,Sedan,20,16,39375
198,Audi,80,1990,regular unleaded,108,4,front wheel drive,4,Compact,Sedan,28,19,44800
199,Audi,80,1990,regular unleaded,130,5,all wheel drive,4,Compact,Sedan,22,16,31445
200,Audi,80,1991,regular unleaded,130,5,front wheel drive,4,Compact,Sedan,24,18,35320
201,Audi,80,1991,regular unleaded,130,5,all wheel drive,4,Compact,Sedan,22,16,41575
202,Audi,80,1992,regular unleaded,130,5,front wheel drive,4,Compact,Sedan,24,18,35320
203,Audi,80,1992,regular unleaded,130,5,all wheel drive,4,Compact,Sedan,22,16,42600
204,Audi,90,1993,regular unleaded,172,6,all wheel drive,4,Compact,Sedan,20,15,35750
205,Audi,90,1993,regular unleaded,172,6,front wheel drive,4,Compact,Sedan,24,18,44800
206,Audi,90,1994,regular unleaded,172,6,all wheel drive,4,Compact,Sedan,22,17,39375
207,Audi,90,1994,regular unleaded,172,6,front wheel drive,4,Compact,Sedan,24,18,31695
208,Audi,90,1995,regular unleaded,172,6,all wheel drive,4,Compact,Sedan,23,17,42600
209,Audi,90,1995,regular unleaded,172,6,front wheel drive,4,Compact,Sedan,24,17,35950
210,Audi,A3,2015,diesel,150,4,front wheel drive,4,Compact,Sedan,43,31,44800
211,Audi,A3,2015,premium unleaded (recommended),220,4,all wheel drive,4,Compact,Sedan,33,24,31900
212,Audi,A3,2015,premium unleaded (recommended),170,4,front wheel drive,2,Compact,Convertible,35,24,41600
213,Audi,A3,2015,premium unleaded (recommended),170,4,front wheel drive,4,Compact,Sedan,33,23,39400
214,Audi,A3,2015,premium unleaded (recommended),220,4,all wheel drive,2,Compact,Convertible,32,23,35350
215,Audi,A3,2016,premium unleaded (recommended),220,4,all wheel drive,4,Compact,Sedan,33,24,35010
216,Audi,A3,2016,premium unleaded (recommended),220,4,all wheel drive,2,Compact,Convertible,32,23,31360
217,Audi,A3,2016,diesel,150,4,front wheel drive,4,Compact,Sedan,43,31,35510
218,Audi,A3,2016,premium unleaded (recommended),170,4,front wheel drive,2,Compact,Convertible,35,24,31860
219,Audi,A3,2016,premium unleaded (recommended),170,4,front wheel drive,4,Compact,Sedan,33,23,35635
220,Audi,A3,2017,premium unleaded (recommended),220,4,all wheel drive,4,Compact,Sedan,35,26,31985
221,Audi,A3,2017,premium unleaded (recommended),186,4,front wheel drive,4,Compact,Sedan,35,26,30010
222,Audi,A3,2017,premium unleaded (recommended),186,4,front wheel drive,2,Compact,Convertible,34,25,35550
223,Audi,A3,2017,premium unleaded (recommended),220,4,all wheel drive,2,Compact,Convertible,34,25,38650
224,Audi,A4 allroad,2017,premium unleaded (recommended),252,4,all wheel drive,4,Midsize,Wagon,28,23,33110
225,Audi,A4,2015,premium unleaded (required),220,4,all wheel drive,4,Midsize,Sedan,31,22,31010
226,Audi,A4,2015,premium unleaded (required),220,4,all wheel drive,4,Midsize,Sedan,32,22,31010
227,Audi,A4,2015,premium unleaded (required),220,4,front wheel drive,4,Midsize,Sedan,32,24,30510
228,Audi,A4,2016,premium unleaded (required),220,4,all wheel drive,4,Midsize,Sedan,32,22,31510
229,Audi,A4,2016,premium unleaded (required),220,4,front wheel drive,4,Midsize,Sedan,31,22,31510
230,Audi,A4,2016,premium unleaded (required),220,4,all wheel drive,4,Midsize,Sedan,31,22,33610
231,Audi,A4,2017,premium unleaded (recommended),252,4,front wheel drive,4,Midsize,Sedan,33,25,39150
232,Audi,A4,2017,premium unleaded (recommended),190,4,front wheel drive,4,Midsize,Sedan,37,27,31635
233,Audi,A4,2017,premium unleaded (recommended),252,4,all wheel drive,4,Midsize,Sedan,31,24,30635
234,Audi,A5,2016,premium unleaded (required),220,4,all wheel drive,2,Midsize,Coupe,31,22,39275
235,Audi,A5,2016,premium unleaded (required),220,4,all wheel drive,2,Midsize,Convertible,29,21,33735
236,Audi,A5,2016,premium unleaded (required),220,4,all wheel drive,2,Midsize,Coupe,32,22,31635
237,Audi,A5,2017,flex-fuel (premium unleaded recommended/E85),220,4,all wheel drive,2,Midsize,Coupe,32,23,2000
238,Audi,A5,2017,flex-fuel (premium unleaded recommended/E85),220,4,all wheel drive,2,Midsize,Convertible,21,15,2000
239,Audi,A5,2017,flex-fuel (premium unleaded recommended/E85),220,4,all wheel drive,2,Midsize,Coupe,22,15,2000
240,Audi,A6,2015,diesel,240,6,all wheel drive,4,Midsize,Sedan,38,24,46020
241,Audi,A6,2015,premium unleaded (recommended),220,4,all wheel drive,4,Midsize,Sedan,29,20,56570
242,Audi,A6,2015,premium unleaded (recommended),220,4,front wheel drive,4,Midsize,Sedan,33,25,50520
243,Audi,A6,2015,premium unleaded (required),310,6,all wheel drive,4,Midsize,Sedan,27,18,46120
244,Audi,A6,2016,premium unleaded (recommended),252,4,all wheel drive,4,Midsize,Sedan,32,22,56670
245,Audi,A6,2016,premium unleaded (recommended),252,4,front wheel drive,4,Midsize,Sedan,35,24,50620
246,Audi,A6,2016,diesel,240,6,all wheel drive,4,Midsize,Sedan,38,25,50920
247,Audi,A6,2016,premium unleaded (required),333,6,all wheel drive,4,Midsize,Sedan,30,20,63900
248,Audi,A6,2017,premium unleaded (recommended),252,4,all wheel drive,4,Midsize,Sedan,31,22,68400
249,Audi,A6,2017,premium unleaded (required),333,6,all wheel drive,4,Midsize,Sedan,31,22,53900
250,Audi,A6,2017,premium unleaded (required),340,6,all wheel drive,4,Midsize,Sedan,31,22,55900
251,Audi,A6,2017,premium unleaded (required),333,6,all wheel drive,4,Midsize,Sedan,29,21,65900
252,Audi,A6,2017,premium unleaded (recommended),252,4,all wheel drive,4,Midsize,Sedan,32,22,156300
253,Audi,A6,2017,premium unleaded (recommended),252,4,front wheel drive,4,Midsize,Sedan,354,24,151800
254,Audi,A6,2017,premium unleaded (recommended),252,4,front wheel drive,4,Midsize,Sedan,34,24,156300
255,Audi,A7,2015,premium unleaded (required),310,6,all wheel drive,4,Large,Sedan,28,18,141800
256,Audi,A7,2015,diesel,240,6,all wheel drive,4,Large,Sedan,38,24,235307
257,Audi,A7,2016,diesel,240,6,all wheel drive,4,Large,Sedan,38,25,213250
258,Audi,A7,2016,premium unleaded (required),333,6,all wheel drive,4,Large,Sedan,30,20,198250
259,Audi,A7,2016,diesel,240,6,all wheel drive,4,Large,Sedan,35,24,198700
260,Audi,A7,2017,premium unleaded (required),333,6,all wheel drive,4,Large,Sedan,29,21,183700
